E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref,A_m2
17430158.87,0.32,-18.0595,-6.66,-12.37,318.6874,data_properties/JD_BASECASE_5_PORO.dat,data_properties/JD_BASECASE_5_PERMX.dat,216.9,0.28,0.96,-14.54,-11.1,5.92,9761.17,7454.13,8301.4,-3972.95,15472878.07
18547731.05,0.23,-17.5595,-6.08,-12.8,319.4186,data_properties/JD_BASECASE_6_PORO.dat,data_properties/JD_BASECASE_6_PERMX.dat,220.55,0.15,0.99,-12.94,-11.1,5.87,8683.94,7450.65,8589.79,-3940.54,18031818.8
21148573.01,0.27,-18.1614,-6.54,-12.92,319.9479,data_properties/JD_BASECASE_7_PORO.dat,data_properties/JD_BASECASE_7_PERMX.dat,228.11,-0.11,0.99,-11.31,-12.47,5.32,7594.99,8373.25,8671.29,-3572.27,17250281.4
15242584.84,0.31,-17.2025,-6.13,-11.98,319.2504,data_properties/JD_BASECASE_8_PORO.dat,data_properties/JD_BASECASE_8_PERMX.dat,217.23,0.27,0.96,-12.67,-9.9,4.97,8502.71,6647.08,8043.84,-3334.68,15407511.59
18738525.02,0.32,-17.1309,-6.38,-13.77,318.5386,data_properties/JD_BASECASE_9_PORO.dat,data_properties/JD_BASECASE_9_PERMX.dat,211.53,0.45,0.89,-15.41,-9.78,5.54,10346.18,6565.43,9243.42,-3718.72,18592160.04
23836991.87,0.37,-19.1757,-6.12,-13.59,319.3134,data_properties/JD_BASECASE_11_PORO.dat,data_properties/JD_BASECASE_11_PERMX.dat,211.08,0.47,0.88,-13.69,-8.87,4.56,9192.75,5956.78,9121.45,-3063.16,18525320.05
23925181.96,0.26,-19.2084,-5.87,-12.08,319.254,data_properties/JD_BASECASE_12_PORO.dat,data_properties/JD_BASECASE_12_PERMX.dat,224.62,0.01,1,-11.34,-11.2,5.4,7615.03,7519.31,8109.76,-3627.74,17130292.77
15628250.24,0.37,-16.8856,-6.35,-11.89,319.6513,data_properties/JD_BASECASE_13_PORO.dat,data_properties/JD_BASECASE_13_PERMX.dat,211.33,0.46,0.89,-14.24,-9.27,4.8,9556.46,6224.91,7982.94,-3221.75,16623447.89
15093352.92,0.3,-18.2234,-6.48,-13.27,311.665,data_properties/JD_BASECASE_15_PORO.dat,data_properties/JD_BASECASE_15_PERMX.dat,216.21,0.3,0.95,-13.52,-10.26,5.16,9078.14,6885.86,8905.93,-3461.61,15910877.92
20794901.1,0.26,-16.7664,-6.22,-12.67,312.5292,data_properties/JD_BASECASE_20_PORO.dat,data_properties/JD_BASECASE_20_PERMX.dat,218.41,0.23,0.97,-13.48,-10.78,5.76,9052.46,7239.54,8508.7,-3868.4,18343155.09
15552823.77,0.37,-18.1735,-7.14,-12.52,319.0674,data_properties/JD_BASECASE_21_PORO.dat,data_properties/JD_BASECASE_21_PERMX.dat,224.18,0.03,1,-13.45,-13.1,6.14,9032.17,8795.84,8407.34,-4120.73,17797123.99
21882008.86,0.24,-18.0504,-6.18,-11.79,319.8222,data_properties/JD_BASECASE_22_PORO.dat,data_properties/JD_BASECASE_22_PERMX.dat,229.74,-0.16,0.99,-10.42,-12.08,5,6992.3,8111.7,7915.98,-3355.03,16519542.72
18878566.51,0.22,-19.1677,-6.18,-13.73,303.4743,data_properties/JD_BASECASE_25_PORO.dat,data_properties/JD_BASECASE_25_PERMX.dat,223.14,0.06,1,-13.18,-12.33,6.56,8848.76,8277.01,9217.38,-4405.92,15504030.19
22309198.74,0.39,-18.5037,-7.12,-13.52,313.8174,data_properties/JD_BASECASE_26_PORO.dat,data_properties/JD_BASECASE_26_PERMX.dat,221.48,0.12,0.99,-12.4,-11.25,4.67,8326.05,7551.79,9074.29,-3134.66,17818475.56
19062666.5,0.23,-18.4338,-6.93,-11.54,318.831,data_properties/JD_BASECASE_27_PORO.dat,data_properties/JD_BASECASE_27_PERMX.dat,212.58,0.42,0.91,-14.59,-10.06,4.89,9791.98,6752.25,7750.43,-3282.33,15786585.77
15861656.22,0.23,-17.8029,-7.01,-11.93,318.5721,data_properties/JD_BASECASE_28_PORO.dat,data_properties/JD_BASECASE_28_PERMX.dat,216.74,0.28,0.96,-14.81,-11.36,5.82,9941.16,7623.07,8007.99,-3905.38,16707644.71
23135438.35,0.37,-19.1962,-7.1,-11.6,319.038,data_properties/JD_BASECASE_29_PORO.dat,data_properties/JD_BASECASE_29_PERMX.dat,223.01,0.07,1,-13.85,-12.98,6.3,9298.79,8711.3,7789.76,-4227.52,15339238.92
24690412.8,0.29,-18.2178,-5.89,-13.92,319.8449,data_properties/JD_BASECASE_30_PORO.dat,data_properties/JD_BASECASE_30_PERMX.dat,218.19,0.24,0.97,-14.36,-11.13,6.66,9637.48,7470.98,9347.47,-4468.04,17187528.52
15333466.39,0.34,-18.9655,-6.69,-12.17,319.4478,data_properties/JD_BASECASE_34_PORO.dat,data_properties/JD_BASECASE_34_PERMX.dat,228.47,-0.12,0.99,-11.26,-12.52,5.16,7561.01,8405.16,8167.13,-3464.26,18491900.64
18262626.51,0.23,-18.1637,-6.86,-12.6,318.9878,data_properties/JD_BASECASE_37_PORO.dat,data_properties/JD_BASECASE_37_PERMX.dat,229.95,-0.17,0.99,-11.08,-12.84,5.02,7441.56,8618.25,8461.75,-3372.09,17676709.38
23662373.45,0.28,-18.1183,-7,-11.47,318.995,data_properties/JD_BASECASE_41_PORO.dat,data_properties/JD_BASECASE_41_PERMX.dat,213.19,0.4,0.92,-14.89,-10.38,5.16,9994.4,6965.22,7698.46,-3463.58,17220858.93
21738659.32,0.33,-19.2034,-6.95,-13.26,306.0135,data_properties/JD_BASECASE_42_PORO.dat,data_properties/JD_BASECASE_42_PERMX.dat,228.42,-0.12,0.99,-12.02,-13.39,5.71,8068.47,8987.54,8903.24,-3832.43,16597103.99
20434870.68,0.32,-19.4249,-6.77,-12.01,319.2974,data_properties/JD_BASECASE_43_PORO.dat,data_properties/JD_BASECASE_43_PERMX.dat,219.32,0.2,0.98,-13.85,-11.52,5.8,9298.51,7734.37,8065.56,-3891.61,17729286.82
20132622.06,0.28,-18.8324,-5.96,-13.69,318.8955,data_properties/JD_BASECASE_44_PORO.dat,data_properties/JD_BASECASE_44_PERMX.dat,221.6,0.12,0.99,-13.21,-11.67,6.44,8868.08,7837.15,9190.02,-4322.29,16004747.3
20031262.86,0.37,-18.7239,-7.12,-13.43,319.1013,data_properties/JD_BASECASE_45_PORO.dat,data_properties/JD_BASECASE_45_PERMX.dat,219.72,0.18,0.98,-13.34,-11.42,5.16,8955.55,7663.62,9014.59,-3466.67,15936638.6
19651344.95,0.36,-19.2628,-6.09,-13.87,319.9424,data_properties/JD_BASECASE_46_PORO.dat,data_properties/JD_BASECASE_46_PERMX.dat,210.53,0.48,0.88,-15.21,-9.26,5.38,10208.8,6215.52,9314.25,-3611.78,16239882.48
19973353.59,0.35,-17.9888,-7.06,-13.89,319.8648,data_properties/JD_BASECASE_47_PORO.dat,data_properties/JD_BASECASE_47_PERMX.dat,213.38,0.39,0.92,-13.95,-10.05,4.54,9362.05,6745.83,9327.22,-3045.61,15370493.39
19731654.39,0.39,-18.1369,-6.23,-12.96,319.6814,data_properties/JD_BASECASE_50_PORO.dat,data_properties/JD_BASECASE_50_PERMX.dat,215.78,0.32,0.95,-14.68,-10.62,6.09,9854.69,7130.08,8701.36,-4086.85,16766303.31
22211549.4,0.28,-16.5154,-6.01,-11.66,318.2541,data_properties/JD_BASECASE_52_PORO.dat,data_properties/JD_BASECASE_52_PERMX.dat,210.04,0.5,0.87,-14.26,-8.77,4.77,9574.16,5887.54,7827.87,-3204.22,16999712.87
21024020.62,0.24,-18.5009,-6.63,-13.56,319.113,data_properties/JD_BASECASE_56_PORO.dat,data_properties/JD_BASECASE_56_PERMX.dat,222.08,0.1,0.99,-13.33,-12.09,6.05,8949.33,8117.73,9100.02,-4063.73,16285991.49
